City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Bolshaya Dzhalga,RU,2022-05-16 15:46:26,45.9695,42.6966,58.5,69,65,10.58
280,Hirado,JP,2022-05-16 15:46:26,33.3597,129.5531,56.39,52,100,5.93
281,Skegness,GB,2022-05-16 15:46:26,53.1436,0.3363,73.47,77,66,14.03
282,Saint Anthony,US,2022-05-16 15:46:27,45.0205,-93.218,67.75,44,0,16.11
283,Clyde River,CA,2022-05-16 15:41:59,70.4692,-68.5914,23.23,100,20,3.44
284,Tuatapere,NZ,2022-05-16 15:46:27,-46.1333,167.6833,53.33,94,98,2.73
285,Soe,ID,2022-05-16 15:46:28,-9.8607,124.284,63.68,89,3,4.07
286,Kununurra,AU,2022-05-16 15:46:28,-15.7667,128.7333,71.58,88,0,0.0
287,Saldanha,ZA,2022-05-16 15:46:28,-33.0117,17.9442,68.95,46,34,10.11
288,Mafeteng,LS,2022-05-16 15:46:29,-29.823,27.2374,55.04,44,0,3.47
289,Corinto,GR,2022-05-16 15:46:29,37.9407,22.9573,77.41,61,46,2.91
290,Simpang,ID,2022-05-16 15:46:29,-1.2667,104.0833,74.68,97,96,1.77
291,Ucluelet,CA,2022-05-16 15:46:30,48.9329,-125.5528,48.09,93,83,9.31
